Time,Temp_C,Vib_Mag_g,X_g,Y_g,Z_g,Sound_dBr
13:14:53,27.4375,1.0502147636577424,-0.08203125,-0.26953125,1.01171875,-90
13:14:55,27.375,1.0536815225562999,-0.078125,-0.26953125,1.015625,-90
13:14:57,27.4375,1.0546875,-0.078125,-0.2734375,1.015625,-90
13:15:00,27.4375,1.0659769053292443,-0.078125,-0.2734375,1.02734375,-90
13:15:02,27.4375,1.0544053442025094,-0.07421875,-0.2734375,1.015625,-90
13:15:04,27.375,1.0533990973050646,-0.07421875,-0.26953125,1.015625,-90
13:15:06,27.4375,1.0619325805643514,-0.07421875,-0.2734375,1.0234375,-90
13:15:09,27.4375,1.0536815225562999,-0.078125,-0.26953125,1.015625,-90
13:15:11,27.4375,1.0546875,-0.078125,-0.2734375,1.015625,-90
13:15:13,27.4375,1.0584495981187827,-0.078125,-0.2734375,1.01953125,-90
13:15:15,27.5,1.061213893029022,-0.078125,-0.26953125,1.0234375,-90
13:15:18,27.4375,1.0579016418311593,-0.0703125,-0.2734375,1.01953125,-90
13:15:20,27.375,1.055200974544512,-0.07421875,-0.26171875,1.01953125,-19.494460916817186
13:15:22,27.4375,1.0574471996644206,-0.078125,-0.26953125,1.01953125,-90
13:15:24,27.375,1.0536815225562999,-0.078125,-0.26953125,1.015625,-19.494460916817186
13:15:27,27.375,1.0619325805643514,-0.07421875,-0.2734375,1.0234375,-19.445400539936692
13:15:29,27.375,1.0579016418311593,-0.0703125,-0.2734375,1.01953125,-90
13:15:31,27.375,1.0571657804264607,-0.07421875,-0.26953125,1.01953125,-19.494460916817186
13:15:33,27.375,1.056646040304977,-0.06640625,-0.26953125,1.01953125,-90
13:15:35,27.375,1.0506432878762302,-0.07421875,-0.2734375,1.01171875,-90
13:15:38,27.4375,1.0615086137706915,-0.08203125,-0.26953125,1.0234375,-90
13:15:40,27.375,1.0579016418311593,-0.0703125,-0.2734375,1.01953125,-90
13:15:42,27.4375,1.0568987236766705,-0.0703125,-0.26953125,1.01953125,-90
13:15:44,27.4375,1.061213893029022,-0.078125,-0.26953125,1.0234375,-90
13:15:47,27.375,1.0524063873340765,-0.07421875,-0.265625,1.015625,-90
13:15:49,27.4375,1.0568987236766705,-0.0703125,-0.26953125,1.01953125,-90
13:15:51,27.4375,1.0544053442025094,-0.07421875,-0.2734375,1.015625,-16.534368973927883
13:15:53,27.4375,1.0584495981187827,-0.078125,-0.2734375,1.01953125,-90
13:15:56,27.4375,1.0577429699268568,-0.08203125,-0.26953125,1.01953125,-90
13:15:58,27.4375,1.0536815225562999,-0.078125,-0.26953125,1.015625,-90
13:16:00,27.4375,1.0546875,-0.078125,-0.2734375,1.015625,-19.494460916817186
13:16:02,27.375,1.056458293533901,-0.078125,-0.265625,1.01953125,-90
13:16:05,27.4375,1.0489208670588848,-0.078125,-0.265625,1.01171875,-90
13:16:07,27.4375,1.0567543405769029,-0.08203125,-0.265625,1.01953125,-90
13:16:09,27.4375,1.0574471996644206,-0.078125,-0.26953125,1.01953125,-90
13:16:11,27.375,1.064702164101392,-0.07421875,-0.26953125,1.02734375,-90
13:16:14,27.4375,1.0533990973050646,-0.07421875,-0.26953125,1.015625,-90
13:16:16,27.4375,1.056458293533901,-0.078125,-0.265625,1.01953125,-90
13:16:18,27.4375,1.0574471996644206,-0.078125,-0.26953125,1.01953125,-14.690095958105793
13:16:20,27.4375,1.0584495981187827,-0.078125,-0.2734375,1.01953125,-16.534368973927883
13:16:23,27.4375,1.0544053442025094,-0.07421875,-0.2734375,1.015625,-90
13:16:25,27.4375,1.0579016418311593,-0.0703125,-0.2734375,1.01953125,-90
13:16:27,27.4375,1.0609334729305013,-0.07421875,-0.26953125,1.0234375,-19.494460916817186
13:16:29,27.4375,1.0656977385365303,-0.07421875,-0.2734375,1.02734375,-90
13:16:31,27.4375,1.0524063873340765,-0.07421875,-0.265625,1.015625,-90
13:16:34,27.4375,1.0619325805643514,-0.07421875,-0.2734375,1.0234375,-90
13:16:36,27.375,1.06267950000297,-0.0703125,-0.27734375,1.0234375,-14.690095958105795
13:16:38,27.4375,1.0544053442025094,-0.07421875,-0.2734375,1.015625,-19.445400539936692
13:16:40,27.4375,1.0533990973050646,-0.07421875,-0.26953125,1.015625,-16.534368973927887
13:16:43,27.4375,1.0533990973050646,-0.07421875,-0.26953125,1.015625,-16.434526764861875
13:16:45,27.4375,1.0574471996644206,-0.078125,-0.26953125,1.01953125,-19.494460916817186
13:16:47,27.4375,1.056176610801018,-0.07421875,-0.265625,1.01953125,-16.384892569546373
13:16:49,27.4375,1.0533990973050646,-0.07421875,-0.26953125,1.015625,-90
13:16:52,27.4375,1.0546875,-0.078125,-0.2734375,1.015625,-90
13:16:54,27.4375,1.0533990973050646,-0.07421875,-0.26953125,1.015625,-90
13:16:56,27.4375,1.0549840439588707,-0.08203125,-0.2734375,1.015625,-19.345585653667037
13:16:58,27.4375,1.0629451043783376,-0.07421875,-0.27734375,1.0234375,-90
13:17:01,27.4375,1.064702164101392,-0.07421875,-0.26953125,1.02734375,-90
13:17:03,27.4375,1.0536815225562999,-0.078125,-0.26953125,1.015625,-90
13:17:05,27.375,1.0571657804264607,-0.07421875,-0.26953125,1.01953125,-90
13:17:07,27.375,1.0533990973050646,-0.07421875,-0.26953125,1.015625,-19.494460916817186
13:17:10,27.4375,1.056176610801018,-0.07421875,-0.265625,1.01953125,-90
13:17:12,27.4375,1.0609334729305013,-0.07421875,-0.26953125,1.0234375,-90
13:17:14,27.4375,1.0531310853867208,-0.0703125,-0.26953125,1.015625,-19.395779767728428
13:17:16,27.4375,1.0536815225562999,-0.078125,-0.26953125,1.015625,-19.494460916817186
13:17:19,27.375,1.0546875,-0.078125,-0.2734375,1.015625,-19.494460916817186
13:17:21,27.4375,1.064981591867026,-0.078125,-0.26953125,1.02734375,-19.494460916817186
13:17:23,27.375,1.0533990973050646,-0.07421875,-0.26953125,1.015625,-90
13:17:25,27.4375,1.0584495981187827,-0.078125,-0.2734375,1.01953125,-19.494460916817186
13:17:27,27.4375,1.0584495981187827,-0.078125,-0.2734375,1.01953125,-90
13:17:30,27.4375,1.0571657804264607,-0.07421875,-0.26953125,1.01953125,-19.494460916817186
13:17:32,27.4375,1.0625071805823538,-0.08203125,-0.2734375,1.0234375,-19.494460916817186
13:17:34,27.4375,1.0531310853867208,-0.0703125,-0.26953125,1.015625,-90
13:17:36,27.4375,1.0541375881200234,-0.0703125,-0.2734375,1.015625,-19.494460916817186
13:17:39,27.4375,1.0574471996644206,-0.078125,-0.26953125,1.01953125,-19.494460916817186
13:17:41,27.4375,1.0536815225562999,-0.078125,-0.26953125,1.015625,-90
13:17:43,27.4375,1.0602285002093887,-0.078125,-0.265625,1.0234375,-90
13:17:45,27.4375,1.055909303874065,-0.0703125,-0.265625,1.01953125,-90
13:17:48,27.4375,1.0531310853867208,-0.0703125,-0.26953125,1.015625,-19.494460916817186
13:17:50,27.4375,1.0546875,-0.078125,-0.2734375,1.015625,-90
13:17:52,27.4375,1.058975657585846,-0.07421875,-0.26171875,1.0234375,-90
13:17:54,27.4375,1.0517102074010514,-0.078125,-0.26171875,1.015625,-19.494460916817186
13:17:57,27.375,1.0574471996644206,-0.078125,-0.26953125,1.01953125,-90
13:17:59,27.4375,1.0533990973050646,-0.07421875,-0.26953125,1.015625,-19.494460916817186
13:18:01,27.4375,1.0571657804264607,-0.07421875,-0.26953125,1.01953125,-90
13:18:03,27.4375,1.0546875,-0.078125,-0.2734375,1.015625,-90
13:18:06,27.4375,1.0584495981187827,-0.078125,-0.2734375,1.01953125,-16.434526764861875
13:18:08,27.4375,1.0568987236766705,-0.0703125,-0.26953125,1.01953125,-19.494460916817186
13:18:10,27.375,1.0579016418311593,-0.0703125,-0.2734375,1.01953125,-90
13:18:12,27.4375,1.0574471996644206,-0.078125,-0.26953125,1.01953125,-14.690095958105795
13:18:15,27.4375,1.0615086137706915,-0.08203125,-0.26953125,1.0234375,-19.494460916817186
13:18:17,27.4375,1.0584495981187827,-0.078125,-0.2734375,1.01953125,-90
13:18:19,27.4375,1.050926453722054,-0.078125,-0.2734375,1.01171875,-90
13:18:21,27.4375,1.0584495981187827,-0.078125,-0.2734375,1.01953125,-90
13:18:23,27.4375,1.0568987236766705,-0.0703125,-0.26953125,1.01953125,-16.434526764861875
13:18:26,27.4375,1.06919992357019,-0.0703125,-0.2734375,1.03125,-90
13:18:28,27.375,1.0544053442025094,-0.07421875,-0.2734375,1.015625,-19.494460916817186
13:18:30,27.4375,1.0579016418311593,-0.0703125,-0.2734375,1.01953125,-90
13:18:32,27.4375,1.0496334344330345,-0.07421875,-0.26953125,1.01171875,-90
13:18:35,27.4375,1.0694639085812165,-0.07421875,-0.2734375,1.03125,-90
13:18:37,27.4375,1.0602285002093887,-0.078125,-0.265625,1.0234375,-90
13:18:39,27.4375,1.0496334344330345,-0.07421875,-0.26953125,1.01171875,-19.494460916817186
13:18:41,27.4375,1.0568987236766705,-0.0703125,-0.26953125,1.01953125,-90
13:18:44,27.4375,1.0581684454680997,-0.07421875,-0.2734375,1.01953125,-19.494460916817186
13:18:46,27.4375,1.0581684454680997,-0.07421875,-0.2734375,1.01953125,-19.445400539936692
13:18:48,27.5,1.0579016418311593,-0.0703125,-0.2734375,1.01953125,-90
13:18:50,27.4375,1.0536815225562999,-0.078125,-0.26953125,1.015625,-90
13:18:53,27.4375,1.0571657804264607,-0.07421875,-0.26953125,1.01953125,-90
13:18:55,27.4375,1.0489208670588848,-0.078125,-0.265625,1.01171875,-90
13:18:57,27.4375,1.0502147636577424,-0.08203125,-0.26953125,1.01171875,-90
13:18:59,27.4375,1.0533990973050646,-0.07421875,-0.26953125,1.015625,-90
13:19:02,27.4375,1.0546875,-0.078125,-0.2734375,1.015625,-90
13:19:04,27.4375,1.056458293533901,-0.078125,-0.265625,1.01953125,-90
13:19:06,27.4375,1.0533990973050646,-0.07421875,-0.26953125,1.015625,-90
13:19:08,27.4375,1.064981591867026,-0.078125,-0.26953125,1.02734375,-90
13:19:11,27.4375,1.0609334729305013,-0.07421875,-0.26953125,1.0234375,-19.494460916817186
13:19:13,27.5,1.0489208670588848,-0.078125,-0.265625,1.01171875,-90
13:19:15,27.4375,1.0544053442025094,-0.07421875,-0.2734375,1.015625,-90
13:19:17,27.375,1.0571657804264607,-0.07421875,-0.26953125,1.01953125,-90
13:19:19,27.4375,1.0567543405769029,-0.08203125,-0.265625,1.01953125,-90
13:19:22,27.4375,1.0687502855445525,-0.078125,-0.26953125,1.03125,-90
13:19:24,27.4375,1.061213893029022,-0.078125,-0.26953125,1.0234375,-90
13:19:26,27.4375,1.0544053442025094,-0.07421875,-0.2734375,1.015625,-90
13:19:28,27.4375,1.0544053442025094,-0.07421875,-0.2734375,1.015625,-90
13:19:31,27.4375,1.0574471996644206,-0.078125,-0.26953125,1.01953125,-19.494460916817186
13:19:33,27.4375,1.0584495981187827,-0.078125,-0.2734375,1.01953125,-90
13:19:35,27.5,1.0622127369023118,-0.078125,-0.2734375,1.0234375,-16.534368973927883
13:19:37,27.4375,1.0524063873340765,-0.07421875,-0.265625,1.015625,-90
13:19:40,27.5,1.0619325805643514,-0.07421875,-0.2734375,1.0234375,-90
13:19:42,27.4375,1.0690429286062955,-0.08203125,-0.26953125,1.03125,-19.494460916817186
13:19:44,27.4375,1.055909303874065,-0.0703125,-0.265625,1.01953125,-19.395779767728428
13:19:46,27.4375,1.056458293533901,-0.078125,-0.265625,1.01953125,-19.494460916817186
13:19:49,27.5,1.0533990973050646,-0.07421875,-0.26953125,1.015625,-90
13:19:51,27.5,1.0568987236766705,-0.0703125,-0.26953125,1.01953125,-90
13:19:53,27.5,1.0732310800437503,-0.07421875,-0.2734375,1.03515625,-16.384892569546373
13:19:55,27.5,1.0544053442025094,-0.07421875,-0.2734375,1.015625,-19.494460916817186
13:19:58,27.5,1.0536815225562999,-0.078125,-0.26953125,1.015625,-19.494460916817186
13:20:00,27.4375,1.056176610801018,-0.07421875,-0.265625,1.01953125,-90
13:20:02,27.4375,1.056176610801018,-0.07421875,-0.265625,1.01953125,-90
13:20:04,27.5,1.0496334344330345,-0.07421875,-0.26953125,1.01171875,-90
13:20:07,27.4375,1.0571657804264607,-0.07421875,-0.26953125,1.01953125,-19.494460916817186
13:20:09,27.5,1.064981591867026,-0.078125,-0.26953125,1.02734375,-90
13:20:11,27.4375,1.061213893029022,-0.078125,-0.26953125,1.0234375,-16.534368973927887
13:20:13,27.4375,1.056458293533901,-0.078125,-0.265625,1.01953125,-19.494460916817186
13:20:15,27.5,1.0584495981187827,-0.078125,-0.2734375,1.01953125,-90
13:20:18,27.5,1.061213893029022,-0.078125,-0.26953125,1.0234375,-90
13:20:20,27.5,1.0526890789188421,-0.078125,-0.265625,1.015625,-90
13:20:22,27.5,1.0571657804264607,-0.07421875,-0.26953125,1.01953125,-16.434526764861875
13:20:24,27.4375,1.0571657804264607,-0.07421875,-0.26953125,1.01953125,-90
13:20:27,27.5,1.0571657804264607,-0.07421875,-0.26953125,1.01953125,-19.494460916817186
13:20:29,27.5,1.0533990973050646,-0.07421875,-0.26953125,1.015625,-90
13:20:31,27.4375,1.0581684454680997,-0.07421875,-0.2734375,1.01953125,-90
13:20:33,27.4375,1.0609334729305013,-0.07421875,-0.26953125,1.0234375,-90
13:20:36,27.4375,1.0568987236766705,-0.0703125,-0.26953125,1.01953125,-90
13:20:38,27.5,1.0529861856769833,-0.08203125,-0.265625,1.015625,-19.494460916817186
13:20:40,27.5,1.0571657804264607,-0.07421875,-0.26953125,1.01953125,-19.445400539936692
13:20:42,27.4375,1.0581684454680997,-0.07421875,-0.2734375,1.01953125,-14.690095958105795
13:20:45,27.4375,1.0536815225562999,-0.078125,-0.26953125,1.015625,-19.494460916817186
13:20:47,27.4375,1.0489208670588848,-0.078125,-0.265625,1.01171875,-90
13:20:49,27.4375,1.0533990973050646,-0.07421875,-0.26953125,1.015625,-90
13:20:51,27.4375,1.0461532610032875,-0.078125,-0.26953125,1.0078125,-19.494460916817186
13:20:54,27.5,1.061213893029022,-0.078125,-0.26953125,1.0234375,-90
13:20:56,27.5,1.0581684454680997,-0.07421875,-0.2734375,1.01953125,-19.494460916817186
13:20:58,27.5,1.0544053442025094,-0.07421875,-0.2734375,1.015625,-19.494460916817186
13:21:00,27.4375,1.0602285002093887,-0.078125,-0.265625,1.0234375,-90
13:21:03,27.4375,1.0526890789188421,-0.078125,-0.265625,1.015625,-19.494460916817186
13:21:05,27.5,1.0571657804264607,-0.07421875,-0.26953125,1.01953125,-90
13:21:07,27.4375,1.0659769053292443,-0.078125,-0.2734375,1.02734375,-90
13:21:09,27.4375,1.0486371596401327,-0.07421875,-0.265625,1.01171875,-90
13:21:11,27.4375,1.0533990973050646,-0.07421875,-0.26953125,1.015625,-19.494460916817186
13:21:14,27.5,1.056176610801018,-0.07421875,-0.265625,1.01953125,-90
13:21:16,27.4375,1.061213893029022,-0.078125,-0.26953125,1.0234375,-19.494460916817186
13:21:18,27.5,1.056458293533901,-0.078125,-0.265625,1.01953125,-19.494460916817186
13:21:20,27.4375,1.0609334729305013,-0.07421875,-0.26953125,1.0234375,-90
13:21:23,27.5,1.0526890789188421,-0.078125,-0.265625,1.015625,-19.494460916817186
13:21:25,27.5,1.0571657804264607,-0.07421875,-0.26953125,1.01953125,-90
13:21:27,27.5,1.061213893029022,-0.078125,-0.26953125,1.0234375,-90
13:21:29,27.5,1.056458293533901,-0.078125,-0.265625,1.01953125,-90
13:21:32,27.5,1.064702164101392,-0.07421875,-0.26953125,1.02734375,-90
13:21:34,27.5,1.0493644607496364,-0.0703125,-0.26953125,1.01171875,-90
13:21:36,27.5,1.059465450600266,-0.078125,-0.27734375,1.01953125,-90
13:21:38,27.5,1.0451536688000718,-0.078125,-0.265625,1.0078125,-19.445400539936692
13:21:41,27.5,1.0571657804264607,-0.07421875,-0.26953125,1.01953125,-90
13:21:43,27.5,1.0571657804264607,-0.07421875,-0.26953125,1.01953125,-90
13:21:45,27.5,1.061213893029022,-0.078125,-0.26953125,1.0234375,-19.494460916817186
13:21:47,27.5,1.0554829176510272,-0.078125,-0.26171875,1.01953125,-90
13:21:50,27.5,1.0609334729305013,-0.07421875,-0.26953125,1.0234375,-19.494460916817186
13:21:52,27.5,1.056458293533901,-0.078125,-0.265625,1.01953125,-90
13:21:54,27.5,1.0544053442025094,-0.07421875,-0.2734375,1.015625,-90
13:21:56,27.5,1.0571657804264607,-0.07421875,-0.26953125,1.01953125,-90
13:21:59,27.5,1.0581684454680997,-0.07421875,-0.2734375,1.01953125,-90
13:22:01,27.5,1.059947819415094,-0.07421875,-0.265625,1.0234375,-90
13:22:03,27.5,1.0571657804264607,-0.07421875,-0.26953125,1.01953125,-90
13:22:05,27.5,1.0579016418311593,-0.0703125,-0.2734375,1.01953125,-90
13:22:07,27.5,1.0584495981187827,-0.078125,-0.2734375,1.01953125,-90
13:22:10,27.4375,1.0489208670588848,-0.078125,-0.265625,1.01171875,-90
13:22:12,27.5,1.0483679303483164,-0.0703125,-0.265625,1.01171875,-90
13:22:14,27.5,1.067771847704368,-0.078125,-0.265625,1.03125,-90
13:22:16,27.5,1.0581684454680997,-0.07421875,-0.2734375,1.01953125,-19.494460916817186
13:22:19,27.4375,1.0581684454680997,-0.07421875,-0.2734375,1.01953125,-19.494460916817186
13:22:21,27.4375,1.0619325805643514,-0.07421875,-0.2734375,1.0234375,-90
13:22:23,27.5,1.056176610801018,-0.07421875,-0.265625,1.01953125,-19.494460916817186
13:22:25,27.5,1.0551575919952965,-0.0703125,-0.27734375,1.015625,-16.434526764861875
13:22:28,27.5,1.0654328203723418,-0.0703125,-0.2734375,1.02734375,-90
13:22:30,27.4375,1.0533990973050646,-0.07421875,-0.26953125,1.015625,-90
13:22:32,27.4375,1.056458293533901,-0.078125,-0.265625,1.01953125,-13.324384599156055
13:22:34,27.5,1.0517102074010514,-0.078125,-0.26171875,1.015625,-90
13:22:37,27.4375,1.0533990973050646,-0.07421875,-0.26953125,1.015625,-90
13:22:39,27.4375,1.056458293533901,-0.078125,-0.265625,1.01953125,-16.434526764861875
13:22:41,27.5,1.056176610801018,-0.07421875,-0.265625,1.01953125,-90
13:22:43,27.5,1.0576491980670506,-0.06640625,-0.2734375,1.01953125,-19.494460916817186
13:22:46,27.5,1.064702164101392,-0.07421875,-0.26953125,1.02734375,-90
13:22:48,27.4375,1.0584495981187827,-0.078125,-0.2734375,1.01953125,-19.494460916817186
13:22:50,27.4375,1.0574471996644206,-0.078125,-0.26953125,1.01953125,-16.334684555795867
13:22:52,27.5,1.0574471996644206,-0.078125,-0.26953125,1.01953125,-9.071467371296738
13:22:55,27.4375,1.056176610801018,-0.07421875,-0.265625,1.01953125,-90
13:22:57,27.4375,1.0574471996644206,-0.078125,-0.26953125,1.01953125,-19.494460916817186
13:22:59,27.5,1.056458293533901,-0.078125,-0.265625,1.01953125,-90
13:23:01,27.5,1.056458293533901,-0.078125,-0.265625,1.01953125,-90
13:23:03,27.5,1.0533990973050646,-0.07421875,-0.26953125,1.015625,-13.424226808222063
13:23:06,27.4375,1.0544053442025094,-0.07421875,-0.2734375,1.015625,-90
13:23:08,27.4375,1.061213893029022,-0.078125,-0.26953125,1.0234375,-19.494460916817186
13:23:10,27.4375,1.0581684454680997,-0.07421875,-0.2734375,1.01953125,-90
